id,sku,entity_type_id,attribute_set_id,name,weight,status,visibility,price,tax,category_ids,media,short_desc,desc
5009,GH43-04278A,4,4,"Samsung SM-G850F Galaxy Alpha Battery Li-Ion EB-BG850BBE 1860mAh",0.0000,2,4,168.0000,0,216,/g/h/gh43-04278a.jpg,"Samsung SM-G850F Galaxy Alpha Battery Li-Ion EB-BG850BBE 1860mAh",
7815,GH43+04278A,4,4,"Samsung SM-G850F Galaxy Alpha Battery Li-Ion EB-BG850BBE 1860mAh ",1.0000,2,4,168.0000,0,216,/g/h/gh43-04278a_1.jpg,"Samsung SM-G850F Galaxy Alpha Battery Li-Ion EB-BG850BBE 1860mAh ","Samsung SM-G850F Galaxy Alpha Battery Li-Ion EB-BG850BBE 1860mAh "
7946,GH97+16386A,4,4,"Samsung SM-G850F Galaxy Alpha LCD Display Black ",1.0000,1,4,562.0000,0,216,/l/c/lcd-black-samsung-galaxy-g850f-alpha-gh97-16386a_1.jpg,"Samsung SM-G850F Galaxy Alpha LCD Display Black","Samsung SM-G850F Galaxy Alpha LCD Display Black"
7947,GH97+16386B,4,4,"Samsung SM-G850F Galaxy Alpha LCD Display Gold ",1.0000,2,4,730.0000,0,216,/l/c/lcd-gold-samsung-galaxy-g850f-alpha-gh97-16386b_1.jpg,"Samsung SM-G850F Galaxy Alpha LCD Display Gold ","Samsung SM-G850F Galaxy Alpha LCD Display Gold "
7948,GH97+16386C,4,4,"Samsung SM-G850F Galaxy Alpha LCD Display Blue ",1.0000,1,4,562.0000,0,216,/l/c/lcd-blue-samsung-galaxy-g850f-alpha-gh97-16386c_1.jpg,"Samsung SM-G850F Galaxy Alpha LCD Display Blue ","Samsung SM-G850F Galaxy Alpha LCD Display Blue "
7949,GH97+16386D,4,4,"Samsung SM-G850F Galaxy Alpha LCD Display White ",1.0000,1,4,670.0000,0,216,/g/h/gh97-16386d_1.jpg,"Samsung SM-G850F Galaxy Alpha LCD Display White ","Samsung SM-G850F Galaxy Alpha LCD Display White "
7950,GH97+16386E,4,4,"Samsung SM-G850F Galaxy Alpha LCD Display Silver ",1.0000,1,4,560.0000,0,216,/l/c/lcd-silver-samsung-galaxy-g850f-alpha-gh97-16386e_1.jpg,"Samsung SM-G850F Galaxy Alpha LCD Display Silver ","Samsung SM-G850F Galaxy Alpha LCD Display Silver "
345,SM66,4,4,"Samsung i8530 Touch Black",0.0000,2,4,140.7000,0,217,/t/o/touch-black-samsung-i8530-sm66.jpg,"Samsung i8530 Touch Black",
352,SM548,4,4,"Samsung G3500 Galaxy Core Plus Touch White",0.0000,1,4,79.0000,0,218,/s/a/samsung-g3500-core-plus-touch-white.jpg,"Samsung G3500 Galaxy Core Plus Touch White","<h>
Samsung G3500 Core Plus Touch White
</h><br>
<b>Quality:</b> OEM"
426,SM242,4,4,"Samsung Galaxy Core Plus G3500 LCD",0.0000,2,4,195.0000,0,218,/l/c/lcd-ska_rm-samsung-galaxy-core-plus-g3500-gspelectronics-sm242.jpg,"Samsung Galaxy Core Plus G3500 LCD",
427,SM241,4,4,"Samsung Galaxy Core Plus G3500 Touch Black",0.0000,2,4,105.0000,0,218,/t/o/touch-black-samsung-galaxy-core-plus-g3500-gspelectronics-sm241.jpg,"Samsung Galaxy Core Plus G3500 Touch Black",
387,SM40,4,4,"Samsung S5660 Galaxy GIO Touch Black",0.0000,2,4,140.7000,0,219,/7/9/797-27-sm40.jpg,"Samsung S5660 Galaxy GIO Touch Black",
470,SM164,4,4,"Samsung S5660 Galaxy Gio Charge Connector",1.0000,2,4,13.4000,0,219,/2/5/2502-27-sm164.jpg,"Samsung S5660 Galaxy Gio Charge Connector",
400,SM35,4,4,"Samsung S5570 LCD Display",1.0000,2,4,160.8000,0,220,/1/2/1233-51-sm35.jpg,"Samsung S5570 LCD Display",
7762,GH82+06080A,4,4,"Samaung S5570 Galaxy Mini Mainboard ",1.0000,2,4,1.0000,0,220,,"Samaung S5570 Galaxy Mini Mainboard ","Samaung S5570 Galaxy Mini Mainboard "
477,SM150,4,4,"Samsung GT-N7100 Galaxy Note 2 Power Flex Cable",1.0000,1,4,17.0000,0,221,/1/5/1565-51-sm150.jpg,"Samsung GT-N7100 Galaxy Note 2 Power Flex Cable",
479,SM148,4,4,"Samsung Galaxy Note 2 N7100 Mainboard",1.0000,1,4,603.0000,0,221,/2/2/2279-51-sm148.jpg,"Samsung Galaxy Note 2 N7100 Mainboard",
914,GH97-14112B,4,4,"Samsung GT-N7100 Galaxy Note 2 LCD + Touch Grey",0.0000,2,4,1100.0000,0,221,/1/4/1497-51-gh97-14112b.jpg,"Samsung GT-N7100 Galaxy Note 2 LCD + Touch Grey","<h>
Samsung Galaxy Note 2 N7100 LCD + Touch Grey
</h>"
936,FM42,4,4,"Samsung GT-N7100 Galaxy Note 2 Sim Reader",0.0000,1,4,32.0000,0,221,/1/2/1210-51-fm42.jpg,"Samsung GT-N7100 Galaxy Note 2 Sim Reader",
937,FM41,4,4,"Samsung GT-N7100 Galaxy Note 2 Charge Connector",1.0000,1,4,40.0000,0,221,/8/7/876-51-fm41.jpg,"Samsung GT-N7100 Galaxy Note 2 Charge Connector",
938,FM40,4,4,"Samsung GT-N7100 Galaxy Note 2 Front Camera",1.0000,1,4,65.0000,0,221,/1/2/1255-51-fm40.jpg,"Samsung GT-N7100 Galaxy Note 2 Front Camera",
939,FM38,4,4,"Samsung GT-N7100 Galaxy Note 2 Earphone Flex With Speaker",0.0000,1,4,40.2000,0,221,/6/4/643-51-fm38.jpg,"Samsung GT-N7100 Galaxy Note 2 Earphone Flex With Speaker",
941,FM37,4,4,"Samsung GT-N7100 Galaxy Note 2 Back Camera",1.0000,1,4,129.0000,0,221,/7/5/757-51-fm37.jpg,"Samsung GT-N7100 Galaxy Note 2 Back Camera",
992,BA89,4,4,"Samsung GT-N7100 Galaxy Note 2 Battery",0.0000,1,4,50.0000,0,221,/1/4/1476-51-ba89.jpg,"Samsung GT-N7100 Galaxy Note 2 Battery",
